评论者网名,评价,评论,评论时间,评论地点,评论点赞数
chihiro,力荐,北影节提前看了消失的她，不能透露太多细节，陈思诚对于悬疑题材的把握越来越成熟了，目前国内顶级了，让我惊喜的是这次居然能够远超误杀系列，环环相扣更加紧密，2个小时无尿点，所以一定先上厕所。朱一龙属于是开窍了，目光很难离开他，我觉得对于男演员来说，长相绝不是最重要的，那种特有的魅力才最迷人，又是一部可以冲奖的作品。倪妮和文咏珊演得都很棒，因为戏眼儿在男主身上，所以整体上发挥空间少一些。完成度非常高的一部悬疑犯罪电影，很过瘾，端午节上映之后肯定是要二刷的。,2023-04-23 21:13:39,北京,4701
dahlia,还行,陈思诚很油腻，原来有王宝强，为他吸收了油腻，现在没有了王宝强……这无处安放的油腻感，演员都被他搞得表演痕迹好重。这又是一个男人想象的，女人为了所谓的爱献祭的故事，最后那个镜头暴露了本质，就这样毫无挣扎还要美美死去，这是典型的男性凝视。这同样的故事，成熟女性和少女看到的将会是不同的反应。我最反对的就是这种以男性视角塑造的女性，就是这类电影会加强少女陶醉在一种自虐般的自恋想象中。光是为爱献祭这样的想象就已经是神谕一样的暗示，影视作品还要不断视觉美化它。男人用作品美化少女的愚蠢天真，怜悯少女的苦难悲剧，这是男人对女性最高形式的鄙视，因为在他的眼里，她只是一个美丽没有自我的物而已。连死亡也是他精心安排好的。,2023-06-27 21:36:36,江苏,672
马德发,很差,好几年没在院线看过视听这么土，表演这么刻意的片子了。。。。。以后和陈思诚三个字挂钩的片子都不会再去看了。,2023-06-23 19:20:51,四川,978
闲人免进,很差,这年头，陈思诚都来girls help girls了,2023-06-27 11:50:28,新加坡,549
,,,,,
乐乐,很差,以后再看陈思诚的电影我自戳双目,2023-06-29 11:40:26,北京,383
面面,力荐,朱一龙也！太！像！梁！朝！伟！了！吧！,2023-04-23 22:29:07,北京,1284
painapple,很差,但凡看过一点悬疑小说、有点悬疑小说知识储备的人，都只会觉得陈思诚就是个缝合怪和抄袭狗而已吧。。感觉自己买电影票去看就是骨子里的贱。。,2023-06-23 22:46:47,广东,746
sTill-Life,还行,说东南亚旅游危险的可以看看是不是会比结婚更危险⚠️ 这个片子最大的贡献是反婚反育（？）有一说一，朱一龙演得还行。,2023-06-21 20:33:11,上海,1012
Ray,推荐,不错，层层反转，有点惊艳，最后女二的一句『我最讨厌渣男』，致敬制片人陈思诚,2023-06-23 01:37:29,广东,1377
杉崎四季,很差,非常神奇的观影体验，全程仿佛被人绑起来倒吊着往耳朵鼻子眼睛嘴里面灌屎一样。另外一定要说的是，我厌恶和鄙视一切有意或者无意表达出“穷生奸计，富长良心”这样思想的文艺作品以及它们的创作者，生理上厌恶，真的恶心。,2023-06-30 23:59:59,山东,334
西楼尘,推荐,有人坚信惠灵顿牛排只有价码，有人却相信梵高的星空自有奥秘。有人设下失踪的迷局，有人布下复仇的地网。以为是成功的失败者，其实是潜入深渊的赌徒。那天遇见我，你就像氧气瓶漏气，快要呼吸不了了。后来赴你之约，在深海里我说快呼吸不了，救我上去，你却转身离去。爱我者予我牢笼，囚人者也像困兽。,2023-06-22 22:46:09,江苏,1329
苏丽珂,较差,我以为最后给朱一龙看的是银行卡呢,2023-06-30 00:48:29,山东,489
长岛冰茶e,推荐,这个彩蛋很懂怎么恶心人,2023-06-23 19:07:54,湖北,1144
多多,较差,智力超过110的人都不适合看这个片子，太弱智了，常识性错误多到离谱，全员都没有智力，尤其男主智力极低，他老婆也没智力，闺蜜看似有智力但是整个故事就和过家家一样。看到陈思诚做编剧，我就很担心，果不其然，他智力确实也只能编这种烂糟剧情,2023-06-22 23:18:01,上海,1353
Pacino,很差,"披着悬疑的皮，剧本看出来是“精心”设计过要讨好观众的，只可惜取巧错了地方。下流，低俗取向，结尾还要恶心一把女性，电影名字里带了“她”，却在消费女性，国产电影什么时候才能真正尊重女性，以陈思诚为首的男性创作者真的……
总之，没有看的必要，端午节还是和朋友家人好好玩吧。",2023-06-22 14:53:32,四川,1064
小侠来了,还行,悬疑天花板？你家天花板这么低啊！,2023-06-21 23:25:19,浙江,1105
嗝,较差,倪妮名字一出来我就猜到了结局 另外 一个男的因为妻子不愿意还债而杀人 怎么可能因为有了小孩而流泪 我觉得还不如放一张他的债条说妻子其实已经帮他还清了 他可能还会有一丝丝后悔吧,2023-06-24 10:36:08,湖南,807
萝卜蹲完吨吨吨,较差,这个剧情真的太难看了 但凡看过几部悬疑的都不会吹这个剧情走向吧 真的比我写论文还能缝 整部电影只能听到踩缝纫机的声音！！人设是缝的，框架是抄的，情感是强行的，girls help girls是浮于表面的，最后女主竟然靠孩子挽留想要杀自己的丈夫我也是震撼的，不愧是csc拍出来的电影，集油腻、肤浅、蹩脚于一体，看这部电影仿佛在看他本人，极其让人不适，而最搞笑的是这么一个厌女、油腻且多次油出轨传闻的导演随意的去叙述ghg，很难说是花钱看电影的我更荒谬还是他更荒谬,2023-06-30 23:22:03,北京,412
壹安²,推荐,我愿称之为中国悬疑电影工业的一次全方位展示，爱情、婚姻、家庭，本身就是一部悬疑片，也许就会在你意想不到的地方疯狂反转。,2023-06-19 21:35:30,北京,2301
太郎,力荐,这个片子中段开始一你会在靠！靠！看到最后 又觉得心情极其愉悦舒爽 谨防剧透谨防剧透谨防剧透！！！！！！！剧透的全都拉出去！！！,2023-04-23 21:15:39,北京,3711
清溪何处边,推荐,娟的金句：彩蛋还不如拍他枪刑呢,2023-06-24 19:03:53,江苏,763
佩枪小百合,还行,最后那张小纸条是1000万支票才更合理吧,2023-06-30 19:19:40,辽宁,345
匡阿吉,推荐,"虽然但是，建议所有女性都去看一下。
没有突然降临的爱，没有随即可改的习惯，没有必然降临的正义，没有爱不是牢笼。",2023-06-25 13:05:29,江苏,630
薄荷烤烟,较差,所有演员都在不同程度地用力过度，文咏珊朱一龙沙滩跳舞对峙聊牛排那段质感差得我以为自己在影院看什么网络大电影，处处流露出土气和油腻的痕迹，陈思诚别挂名监制了，大家都知道你才是本片真正的导演！,2023-06-24 23:14:36,北京,903
,,,,,
Mia,还行,杀妻不后悔，顺带不小心把孩子杀了后悔死了。,2023-06-22 23:03:28,四川,741
叶赫那拉,推荐,"我是自杀，而不是氧气罐中氧气耗尽。
我死于对最爱的人的绝望，而不是海底的牢笼。
我死前最后一眼也要看着为我准备的绝命星空，我的恋爱脑大概是没救了。",2023-06-26 00:00:47,北京,593
卷,较差,就是说。。都知道木子信号消失前在灯塔附近，下趟水也就40分钟就确认了，非得搞个一礼拜去演出大戏吗？？,2023-06-30 22:26:32,广东,470
eros,还行,沉浸在氛围里能看，不能回头细想。,2023-06-19 18:12:21,北京,497
我不是豆友,还行,赌徒的致命点不是一坨胎盘，是钱，是钱，是钱，防水袋里装支票1000万更有说服力。,2023-07-01 21:34:04,陕西,220
Lareina,推荐,编剧还是懂男的哈，赌狗不行，凤凰男不行，倪妮最后甩出一个啥子说男主要后悔，我看到是b超还是黑人问号？男的遗憾的只会是他的血脉，不是他的妻子,2023-06-23 18:42:53,四川,643
